RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
SLTM,K562,ENCSR000SSH,ENCSR820GBM,"ENCFF334ONA,ENCFF470BUR,ENCFF506XBB,ENCFF896KIF","ENCFF827FAW,ENCFF405BRH","ENCFF392CBU,ENCFF052VSB",ENCFF693ZAZ,SLTM eCLIP mock input,"ENCFF864EZE,ENCFF699JUE",ENCFF869ACG
CPSF6,K562,ENCSR532VUB,ENCSR249WNK,"ENCFF776TRJ,ENCFF975ABT,ENCFF394FNH,ENCFF420PXR","ENCFF550ABZ,ENCFF185XTD","ENCFF284QIO,ENCFF515QAG",ENCFF264WFT,CPSF6 eCLIP mock input,"ENCFF887HZS,ENCFF523STK",ENCFF747XJC
EIF4G2,K562,ENCSR307YIW,ENCSR651NUF,"ENCFF537IFC,ENCFF699HKX,ENCFF723JSM,ENCFF683WKJ","ENCFF118NIZ,ENCFF873WNB","ENCFF462XFB,ENCFF512MNG",ENCFF648LCX,EIF4G2 eCLIP mock input,"ENCFF013DLR,ENCFF566LOT",ENCFF551LIR
SLBP,K562,ENCSR483NOP,ENCSR950WBG,"ENCFF192LYD,ENCFF835QFU,ENCFF929QLP,ENCFF833YXA","ENCFF036FAN,ENCFF013SZJ","ENCFF874WRG,ENCFF397VAA",ENCFF456CGG,SLBP eCLIP mock input,"ENCFF494AAJ,ENCFF296EON",ENCFF913HKF
SAFB2,K562,ENCSR943MHU,ENCSR978JXM,"ENCFF820EYG,ENCFF082JRS,ENCFF899HPH,ENCFF878YBB","ENCFF663LQH,ENCFF488ZWQ","ENCFF801ARQ,ENCFF273BVZ",ENCFF193UPY,SAFB2 eCLIP mock input,"ENCFF698YHW,ENCFF598NHN",ENCFF140UJJ
U2AF2,HepG2,ENCSR202BFN,ENCSR049GND,"ENCFF565HKG,ENCFF912MAK,ENCFF559BLA,ENCFF440IJI","ENCFF555WXD,ENCFF706QJH","ENCFF444TCK,ENCFF523JWI",ENCFF159VOF,U2AF2 eCLIP mock input,"ENCFF156ZDE,ENCFF939YLN",ENCFF045UZN
CSTF2T,K562,ENCSR840DRD,ENCSR722LZB,"ENCFF305FQD,ENCFF480LCY,ENCFF084WXF,ENCFF251DNT","ENCFF106RNO,ENCFF926RLW","ENCFF043QXI,ENCFF379UQU",ENCFF536BUW,CSTF2T eCLIP mock input,"ENCFF271URZ,ENCFF599GSZ",ENCFF729BOP
PRPF8,K562,ENCSR534YOI,ENCSR096SZE,"ENCFF378HIP,ENCFF792GSE,ENCFF343JQN,ENCFF975SKP","ENCFF319LAK,ENCFF689MJF","ENCFF687LRO,ENCFF576DYQ",ENCFF949RPR,PRPF8 eCLIP mock input,"ENCFF486ZOM,ENCFF939HBM",ENCFF365IYY
FAM120A,K562,ENCSR006OEQ,ENCSR811FFO,"ENCFF874PCG,ENCFF352HXC,ENCFF094VBR,ENCFF820TME","ENCFF668AFD,ENCFF225RJI","ENCFF150KMB,ENCFF901AAL",ENCFF368MXJ,FAM120A eCLIP mock input,"ENCFF161YHF,ENCFF897LLL",ENCFF847OPT
HNRNPU,HepG2,ENCSR240MVJ,ENCSR614VYQ,"ENCFF195JRZ,ENCFF383SFO,ENCFF739PWI,ENCFF942SSU","ENCFF323IDR,ENCFF979DWE","ENCFF024FCB,ENCFF587FNW",ENCFF854NXI,HNRNPU eCLIP mock input,"ENCFF962DLT,ENCFF149QMI",ENCFF424XSW
