RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
CSTF2T,HepG2,ENCSR914WQV,ENCSR003EKR,"ENCFF558BZK,ENCFF693OKA,ENCFF662TVD,ENCFF230BQU","ENCFF352MST,ENCFF187JOD","ENCFF812WEZ,ENCFF204MEG",ENCFF601GSO,ENCFF122EGU,ENCFF295GFU,ENCFF378UIG,ENCFF172EQJ,ENCFF129MJV,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
DDX24,HepG2,ENCSR300IEW,ENCSR003EKR,"ENCFF404AVL,ENCFF406DBJ,ENCFF557NVN,ENCFF986FPH","ENCFF202KRA,ENCFF940KMT","ENCFF762HNH,ENCFF676DXH",ENCFF672KIU,ENCFF392SUR,ENCFF450UAX,ENCFF603YEG,ENCFF167KTX,ENCFF606QVJ,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
TIAL1,HepG2,ENCSR450VQO,ENCSR305XWT,"ENCFF486AME,ENCFF857GEA,ENCFF963IHK,ENCFF032PXL","ENCFF468DJE,ENCFF604SZR","ENCFF416PWC,ENCFF148YLP",ENCFF181RAV,ENCFF366FLB,ENCFF616LOQ,ENCFF951BOW,ENCFF634OMK,ENCFF013CVR,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
UPF1,HepG2,ENCSR689MIY,ENCSR691IVR,"ENCFF946UUY,ENCFF430MDC,ENCFF549TIA,ENCFF691EYK","ENCFF578QNC,ENCFF484REW","ENCFF821QBU,ENCFF606BMQ",ENCFF976QWN,ENCFF444YJE,ENCFF980WKA,ENCFF841NHV,ENCFF801DCD,ENCFF457REQ,non-target,"ENCFF248RMM,ENCFF349QHG,ENCFF947QZH,ENCFF258VUW","ENCFF115BQI,ENCFF715AGI","ENCFF072ZOG,ENCFF573ATS"
KHSRP,HepG2,ENCSR850CKU,ENCSR237YZT,"ENCFF837DMD,ENCFF491ITH,ENCFF635IHA,ENCFF454KMT","ENCFF624GLA,ENCFF461CJW","ENCFF096YJH,ENCFF325NGU",ENCFF239VGX,ENCFF951QIU,ENCFF240MUL,ENCFF666LIT,ENCFF159HBP,ENCFF544YKB,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
TFIP11,HepG2,ENCSR573UBF,ENCSR856ZRV,"ENCFF609QPI,ENCFF478DNB,ENCFF421LJW,ENCFF832IOU","ENCFF132PEP,ENCFF788JGG","ENCFF241RYP,ENCFF307YVI",ENCFF250FLF,ENCFF835LUS,ENCFF585WOB,ENCFF828IOY,ENCFF430JCR,ENCFF233QVK,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
UPF2,HepG2,ENCSR318OXM,ENCSR856ZRV,"ENCFF085AZU,ENCFF674YWJ,ENCFF693ZLZ,ENCFF163BAQ,ENCFF243ZQC,ENCFF012NYF","ENCFF334NRZ,ENCFF578YZK","ENCFF438UCN,ENCFF857OVU",ENCFF549WSE,ENCFF031ACG,ENCFF619BKH,ENCFF119RRH,ENCFF603GEN,ENCFF736PHC,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
PSIP1,HepG2,ENCSR744YVR,ENCSR674KEK,"ENCFF162EMY,ENCFF576CAF,ENCFF686WMY,ENCFF811DUX","ENCFF099LRS,ENCFF863XOG","ENCFF888FBH,ENCFF538FJO",ENCFF035KPR,ENCFF932CDF,ENCFF036ELH,ENCFF660MKU,ENCFF439EBR,ENCFF621HEM,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
PA2G4,HepG2,ENCSR028YAQ,ENCSR689PHN,"ENCFF060ZTX,ENCFF555DRB,ENCFF061LWF,ENCFF519JRM","ENCFF393QIH,ENCFF148JEE","ENCFF441MEE,ENCFF914YMY",ENCFF028RGS,ENCFF306AVY,ENCFF397AMM,ENCFF332IIQ,ENCFF972LYY,ENCFF474SXL,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
PRPF8,HepG2,ENCSR998MZP,ENCSR856ZRV,"ENCFF530DTM,ENCFF198XKY,ENCFF285CHT,ENCFF112WXE","ENCFF556JQE,ENCFF082BNK","ENCFF879UCI,ENCFF511WCD",ENCFF902YDX,ENCFF346YUA,ENCFF885YFS,ENCFF702XCZ,ENCFF440BGI,ENCFF292BFN,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
