RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
DKC1,HepG2,ENCSR118KUN,ENCSR538QOG,"ENCFF079NDM,ENCFF475BKB,ENCFF424OZB,ENCFF975XQH","ENCFF712RNK,ENCFF265NMT","ENCFF997DOI,ENCFF447CYY",ENCFF432CSP,ENCFF432KPL,ENCFF435QNW,ENCFF530OJE,ENCFF210PCK,ENCFF913RIE,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
NOLC1,HepG2,ENCSR959HPB,ENCSR521WAI,"ENCFF751WNY,ENCFF784KIA,ENCFF169MDM,ENCFF374DXZ","ENCFF726SVT,ENCFF216RLK","ENCFF678SSZ,ENCFF700ITI",ENCFF148GNA,ENCFF795QLC,ENCFF941KAF,ENCFF461OBB,ENCFF417UUE,ENCFF083SDO,non-target,"ENCFF552VOE,ENCFF100IFZ,ENCFF230IAI,ENCFF550QYI","ENCFF729LZA,ENCFF872YYA","ENCFF564PPK,ENCFF879PGY"
RBM47,HepG2,ENCSR711ZJQ,ENCSR279HMU,"ENCFF065SGA,ENCFF989NPW,ENCFF395NJY,ENCFF656CUM","ENCFF121EPB,ENCFF594AMB","ENCFF002WBS,ENCFF867LFJ",ENCFF482GUJ,ENCFF134FSP,ENCFF890QRX,ENCFF107XOH,ENCFF512YOI,ENCFF547QOY,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
XRN2,HepG2,ENCSR347ZHQ,ENCSR856ZRV,"ENCFF011SMR,ENCFF454SOJ,ENCFF438PVX,ENCFF317GTG","ENCFF407VNE,ENCFF322LTW","ENCFF863NBZ,ENCFF194ZCD",ENCFF551LBD,ENCFF899WWJ,ENCFF932UIO,ENCFF075OBJ,ENCFF684MBB,ENCFF663LEC,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
AKAP8L,HepG2,ENCSR807ODB,ENCSR538QOG,"ENCFF021TLE,ENCFF195QQM,ENCFF096LNJ,ENCFF824FVD","ENCFF377DAR,ENCFF754BCQ","ENCFF308YWZ,ENCFF051WSC",ENCFF012UTC,ENCFF848ZDV,ENCFF719OYD,ENCFF958AVV,ENCFF685AFC,ENCFF500MDZ,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
DDX6,HepG2,ENCSR147ZBD,ENCSR237YZT,"ENCFF353TCN,ENCFF897ZIG,ENCFF697HUP,ENCFF639SIY","ENCFF343WSX,ENCFF401NSP","ENCFF649NBU,ENCFF533HCH",ENCFF752WJO,ENCFF850KXY,ENCFF540MYD,ENCFF099OAM,ENCFF354QLG,ENCFF737GEB,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
SDAD1,HepG2,ENCSR715QWM,ENCSR521WAI,"ENCFF818ZRN,ENCFF551MVW,ENCFF284HWX,ENCFF278ILV","ENCFF654TTY,ENCFF137VUJ","ENCFF734GAW,ENCFF893ZDD",ENCFF062QZV,ENCFF805PFP,ENCFF714PHG,ENCFF946BKA,ENCFF769SVY,ENCFF782QGN,non-target,"ENCFF552VOE,ENCFF100IFZ,ENCFF230IAI,ENCFF550QYI","ENCFF729LZA,ENCFF872YYA","ENCFF564PPK,ENCFF879PGY"
AKAP1,HepG2,ENCSR016IDR,ENCSR237YZT,"ENCFF384YZT,ENCFF101BOD,ENCFF653YRR,ENCFF979ZNO","ENCFF426DHN,ENCFF108HHU","ENCFF722SSP,ENCFF869PZR",ENCFF970ZOE,ENCFF776UKS,ENCFF811TLY,ENCFF404BDP,ENCFF034MFR,ENCFF686CAX,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
AKAP8,HepG2,ENCSR958KSY,ENCSR246RRQ,"ENCFF210THQ,ENCFF930QYJ,ENCFF528LYC,ENCFF919KTT","ENCFF093STD,ENCFF285YDY","ENCFF361MIN,ENCFF063JBI",ENCFF081ZQZ,ENCFF960EZT,ENCFF779OCI,ENCFF576EYP,ENCFF687NCH,ENCFF828CFX,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
CDC40,HepG2,ENCSR278NFF,ENCSR481WJH,"ENCFF930PYM,ENCFF740MXN,ENCFF588RRE,ENCFF231SOE","ENCFF800BJN,ENCFF900XKJ","ENCFF559KDL,ENCFF962OTV",ENCFF736HHZ,ENCFF711DXS,ENCFF505XBD,ENCFF367DCS,ENCFF724QGD,ENCFF838UCV,non-target,"ENCFF460YOT,ENCFF051FJX,ENCFF737CSN,ENCFF782QYO","ENCFF843QOP,ENCFF432WNR","ENCFF763ZJL,ENCFF333VAN"
HNRNPLL,HepG2,ENCSR490DYI,ENCSR264TUE,"ENCFF370WAJ,ENCFF841CWK,ENCFF443IPN,ENCFF026VNR","ENCFF049UJQ,ENCFF846LPR","ENCFF151TDU,ENCFF113KON",ENCFF381MLP,ENCFF919UOO,ENCFF926YCJ,ENCFF760OZR,ENCFF533STD,ENCFF503VOB,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
NONO,HepG2,ENCSR647NYX,ENCSR856ZRV,"ENCFF781GYO,ENCFF521PWU,ENCFF934BDQ,ENCFF748HNR","ENCFF743IBK,ENCFF905RMN","ENCFF201WEV,ENCFF385QWY",ENCFF232FPN,ENCFF806MZT,ENCFF239BZI,ENCFF063CYJ,ENCFF531YVA,ENCFF924ODL,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
DDX3X,HepG2,ENCSR637JLM,ENCSR237YZT,"ENCFF695MUQ,ENCFF282INV,ENCFF341IGR,ENCFF160MRP","ENCFF201FHG,ENCFF977MZX","ENCFF431MTB,ENCFF186DMR",ENCFF768AUH,ENCFF872EDP,ENCFF011RPM,ENCFF815NUE,ENCFF456KHF,ENCFF962SKP,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
PTBP1,HepG2,ENCSR064DXG,ENCSR603TCV,"ENCFF983TGB,ENCFF486ADH,ENCFF887GOE,ENCFF555EDL","ENCFF527FPF,ENCFF155FIK","ENCFF663OZT,ENCFF917GHN",ENCFF089VRS,ENCFF903PZF,ENCFF984OVL,ENCFF712KUJ,ENCFF207MJK,ENCFF094RWP,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
HNRNPA1,HepG2,ENCSR182DAW,ENCSR305XWT,"ENCFF096PID,ENCFF068KKI,ENCFF196EOX,ENCFF786LGW","ENCFF032FGV,ENCFF339VWZ","ENCFF080XUV,ENCFF565SIR",ENCFF573YTX,ENCFF436NFA,ENCFF514IWE,ENCFF435HPK,ENCFF709RAM,ENCFF283XEH,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
IGF2BP1,HepG2,ENCSR268XHM,ENCSR105NML,"ENCFF712MFS,ENCFF051UMI,ENCFF177UID,ENCFF641TDC","ENCFF326QKH,ENCFF384APO","ENCFF750JCA,ENCFF409LBZ",ENCFF629QDM,ENCFF258BYE,ENCFF144KRU,ENCFF741ORL,ENCFF425TYO,ENCFF491AQM,non-target,"ENCFF255GEL,ENCFF930LDL,ENCFF582GSM,ENCFF299GUW","ENCFF534AWV,ENCFF134QUL","ENCFF272JSE,ENCFF816DSO"
SRSF5,HepG2,ENCSR781YNI,ENCSR042QTH,"ENCFF959WPC,ENCFF003NIO,ENCFF755GJK,ENCFF266LRB","ENCFF341XGN,ENCFF946EQQ","ENCFF343XZY,ENCFF339RGD",ENCFF238WAE,ENCFF722EUI,ENCFF588JNT,ENCFF679VYY,ENCFF750VRT,ENCFF825LCT,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
NOL12,HepG2,ENCSR643UFV,ENCSR042QTH,"ENCFF798YGI,ENCFF874FUL,ENCFF269NJH,ENCFF926ENE","ENCFF453VAW,ENCFF329LUC","ENCFF232YAZ,ENCFF443TYD",ENCFF240KYN,ENCFF897RLX,ENCFF058PNA,ENCFF091HKI,ENCFF590KHO,ENCFF544VBO,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
IGF2BP3,HepG2,ENCSR710NWE,ENCSR237YZT,"ENCFF873TWM,ENCFF312ROS,ENCFF903GYZ,ENCFF683AXB","ENCFF536RKP,ENCFF930KJO","ENCFF962CLT,ENCFF784FKR",ENCFF603MCQ,ENCFF116DHN,ENCFF389CKK,ENCFF031VFM,ENCFF948WPZ,ENCFF794IZX,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
DDX55,HepG2,ENCSR964YTW,ENCSR856ZRV,"ENCFF867MZR,ENCFF584HLK,ENCFF029ZGL,ENCFF067TCM","ENCFF799DYJ,ENCFF935XLF","ENCFF946DGA,ENCFF688DNF",ENCFF375ACE,ENCFF266JFK,ENCFF754QAO,ENCFF827RXW,ENCFF355ZEQ,ENCFF548HSQ,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
EWSR1,HepG2,ENCSR532ZPP,ENCSR538QOG,"ENCFF134KCP,ENCFF804EYQ,ENCFF140PVV,ENCFF282HYI","ENCFF811NAN,ENCFF584DDC","ENCFF492CNZ,ENCFF863YWK",ENCFF003BDP,ENCFF323WNL,ENCFF708QBE,ENCFF913YGB,ENCFF118KEA,ENCFF080KHN,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
FUS,HepG2,ENCSR927JXU,ENCSR003EKR,"ENCFF259VDL,ENCFF796SDA,ENCFF138XJC,ENCFF169XEG","ENCFF162PMY,ENCFF382DXD","ENCFF208AAJ,ENCFF777IMP",ENCFF546SWA,ENCFF451HBC,ENCFF490UES,ENCFF440ART,ENCFF007BHV,ENCFF487ZFW,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
TROVE2,HepG2,ENCSR946OFN,ENCSR689PHN,"ENCFF773TIP,ENCFF992YHM,ENCFF233IZY,ENCFF278WVM","ENCFF099TTE,ENCFF565GTX","ENCFF427RKG,ENCFF496SSR",ENCFF030TUO,ENCFF053EYO,ENCFF608GJA,ENCFF783CMK,ENCFF160LSJ,ENCFF666CWU,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
SNRNP70,HepG2,ENCSR635BOO,ENCSR264TUE,"ENCFF922LCG,ENCFF138XVU,ENCFF619WHQ,ENCFF455KZB","ENCFF080EFD,ENCFF717XEO","ENCFF792FWO,ENCFF285AJM",ENCFF186EZO,ENCFF225YDN,ENCFF863TNH,ENCFF267KCU,ENCFF462XEN,ENCFF302BLN,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
SART3,HepG2,ENCSR011BBS,ENCSR279HMU,"ENCFF833EAW,ENCFF705YLZ,ENCFF912KOQ,ENCFF879VXM","ENCFF099GGP,ENCFF172AYP","ENCFF328JWO,ENCFF889YDN",ENCFF525VTU,ENCFF725YCP,ENCFF062LOG,ENCFF839QXB,ENCFF015POB,ENCFF389PQX,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
PKM,HepG2,ENCSR656DQV,ENCSR689PHN,"ENCFF961CLP,ENCFF424TEQ,ENCFF461GAS,ENCFF968UER","ENCFF617SLZ,ENCFF556NSH","ENCFF209RHL,ENCFF707XLL",ENCFF349XKA,ENCFF906UJE,ENCFF522WJS,ENCFF272MMR,ENCFF122TBL,ENCFF341OKX,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
CPSF6,HepG2,ENCSR676EKU,ENCSR264TUE,"ENCFF317BIK,ENCFF448SHE,ENCFF086QPV,ENCFF847XAB","ENCFF806WSX,ENCFF713OCI","ENCFF853JLU,ENCFF548SDP",ENCFF214BGF,ENCFF568UDY,ENCFF587UMG,ENCFF522KLC,ENCFF913EOV,ENCFF820PUQ,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
DNAJC2,HepG2,ENCSR004OSI,ENCSR305XWT,"ENCFF574NLR,ENCFF254YMX,ENCFF004YZO,ENCFF557NSW","ENCFF582HPV,ENCFF601DMY","ENCFF132HKJ,ENCFF690PPK",ENCFF585KOA,ENCFF266QAS,ENCFF760CHB,ENCFF493QQY,ENCFF518ORC,ENCFF930MOV,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
NPM1,HepG2,ENCSR016XPB,ENCSR104ABF,"ENCFF220TLU,ENCFF744RQX,ENCFF764HJD,ENCFF350CEQ","ENCFF590AIM,ENCFF698DFA","ENCFF840YCZ,ENCFF705ZSK",ENCFF839CBH,ENCFF957YBS,ENCFF447RHN,ENCFF865JGV,ENCFF802XYB,ENCFF613UUK,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
U2AF2,HepG2,ENCSR426UUG,ENCSR104ABF,"ENCFF229BQW,ENCFF020XNK,ENCFF354AMD,ENCFF298TSM","ENCFF792JQH,ENCFF251QKG","ENCFF042BJG,ENCFF969CLS",ENCFF593XXC,ENCFF241POH,ENCFF290ROJ,ENCFF888CHD,ENCFF156DBI,ENCFF375WMP,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
SRSF7,HepG2,ENCSR845MNM,ENCSR105NML,"ENCFF802SMQ,ENCFF980VES,ENCFF293EYK,ENCFF879NNR","ENCFF757NZN,ENCFF220CPX","ENCFF799WYC,ENCFF233SMB",ENCFF336CMH,ENCFF332XCQ,ENCFF288SYG,ENCFF909LQV,ENCFF562RLX,ENCFF962LDL,non-target,"ENCFF255GEL,ENCFF930LDL,ENCFF582GSM,ENCFF299GUW","ENCFF534AWV,ENCFF134QUL","ENCFF272JSE,ENCFF816DSO"
FASTKD1,HepG2,ENCSR728BOL,ENCSR279HMU,"ENCFF994OSE,ENCFF773GOI,ENCFF704AON,ENCFF266JFP","ENCFF150SWH,ENCFF545NCH","ENCFF314KIJ,ENCFF858BHK",ENCFF030SRI,ENCFF659UGU,ENCFF396WLU,ENCFF948MJM,ENCFF635WLG,ENCFF973JOL,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
HNRNPUL1,HepG2,ENCSR689ZJC,ENCSR104ABF,"ENCFF907CDK,ENCFF256ODI,ENCFF386PUA,ENCFF872RJV","ENCFF721EPM,ENCFF468MLK","ENCFF015XJP,ENCFF560RIT",ENCFF740VNU,ENCFF224HGK,ENCFF858APL,ENCFF873HQN,ENCFF342BOV,ENCFF622DQK,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
SBDS,HepG2,ENCSR343DHN,ENCSR279HMU,"ENCFF646LBK,ENCFF097IVE,ENCFF564BXF,ENCFF068EQH","ENCFF488ZBV,ENCFF433WPM","ENCFF744BDN,ENCFF727KUX",ENCFF059WKW,ENCFF476QBC,ENCFF848BNN,ENCFF158NVV,ENCFF065JJK,ENCFF281FHZ,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
ABCF1,HepG2,ENCSR610VTA,ENCSR067GHD,"ENCFF681WKG,ENCFF067AQF,ENCFF337AXV,ENCFF390FTP","ENCFF015TIY,ENCFF596YKH","ENCFF724GZU,ENCFF135AQK",ENCFF734YIN,ENCFF640ULV,ENCFF426VAV,ENCFF437XBV,ENCFF573TNC,ENCFF585NTQ,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
KRR1,HepG2,ENCSR542ESY,ENCSR246RRQ,"ENCFF269JTR,ENCFF260BAM,ENCFF058AVY,ENCFF319AYU","ENCFF417WJR,ENCFF151QED","ENCFF764EQR,ENCFF973GFG",ENCFF084GVQ,ENCFF565RIX,ENCFF921XMN,ENCFF895SIQ,ENCFF067VNJ,ENCFF942HNH,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
EIF4B,HepG2,ENCSR313CHR,ENCSR237YZT,"ENCFF181RDF,ENCFF113MYQ,ENCFF528RFZ,ENCFF577TKY","ENCFF165UVA,ENCFF501TAD","ENCFF691ULQ,ENCFF721RJD",ENCFF917PSB,ENCFF816SUR,ENCFF813OXF,ENCFF457QYG,ENCFF757OSV,ENCFF736XPW,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
RAVER1,HepG2,ENCSR576GOW,ENCSR491FOC,"ENCFF313XFX,ENCFF143QVA,ENCFF845HPT,ENCFF794KGE","ENCFF488AVD,ENCFF226GRM","ENCFF363ELC,ENCFF041KKF",ENCFF680OYW,ENCFF178RIP,ENCFF538PHX,ENCFF844HTF,ENCFF116CGT,ENCFF423VVL,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
SFPQ,HepG2,ENCSR782MXN,ENCSR104ABF,"ENCFF857LTR,ENCFF713QLK,ENCFF045VON,ENCFF595HGP","ENCFF153PUW,ENCFF474BUK","ENCFF587WVP,ENCFF537PNI",ENCFF082GJO,ENCFF185OZU,ENCFF547NRF,ENCFF871UVP,ENCFF838YLY,ENCFF167DNW,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
RECQL,HepG2,ENCSR572AMC,ENCSR603TCV,"ENCFF485ZZE,ENCFF720AIL,ENCFF222JMY,ENCFF968XOE","ENCFF397KTR,ENCFF333ROV","ENCFF887EHR,ENCFF554RCL",ENCFF446VJF,ENCFF529YAT,ENCFF041TSD,ENCFF741YMX,ENCFF853ZOV,ENCFF934RES,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
RBM14,HepG2,ENCSR166MWM,ENCSR521WAI,"ENCFF732HIC,ENCFF334MQT,ENCFF834RFI,ENCFF024ENI","ENCFF341DUQ,ENCFF779FLC","ENCFF268ITM,ENCFF370YHX",ENCFF547TZG,ENCFF412MFS,ENCFF516WNG,ENCFF887MRQ,ENCFF638LQJ,ENCFF978KQH,non-target,"ENCFF552VOE,ENCFF100IFZ,ENCFF230IAI,ENCFF550QYI","ENCFF729LZA,ENCFF872YYA","ENCFF564PPK,ENCFF879PGY"
LIN28B,HepG2,ENCSR927SLP,ENCSR674KEK,"ENCFF061UWY,ENCFF655RIO,ENCFF840BKE,ENCFF910OAA","ENCFF170MXT,ENCFF732IMS","ENCFF499BYZ,ENCFF066BLA",ENCFF040ZEI,ENCFF925GJW,ENCFF715ZBJ,ENCFF422PZF,ENCFF554WYU,ENCFF272KVO,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
ESF1,HepG2,ENCSR060IWW,ENCSR067GHD,"ENCFF311TZW,ENCFF268SVX,ENCFF058GKO,ENCFF038XRY","ENCFF252NEG,ENCFF501BAP","ENCFF983BUR,ENCFF926FSX",ENCFF711YVF,ENCFF193OEV,ENCFF727GAQ,ENCFF492LVU,ENCFF535OEF,ENCFF873GAL,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
HNRNPU,HepG2,ENCSR308IKH,ENCSR305XWT,"ENCFF436HPH,ENCFF224MBX,ENCFF533QHC,ENCFF057KLZ","ENCFF935RCR,ENCFF556EJB","ENCFF200UIG,ENCFF560VRL",ENCFF799JRP,ENCFF979KVQ,ENCFF880SIB,ENCFF057GHN,ENCFF826NYW,ENCFF230CVA,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
UTP3,HepG2,ENCSR910ECL,ENCSR691IVR,"ENCFF257FUP,ENCFF813XIG,ENCFF210ODS,ENCFF634DWK","ENCFF622ENH,ENCFF318MDE","ENCFF071UHE,ENCFF162XBO",ENCFF697DKY,ENCFF619OST,ENCFF649ACX,ENCFF907IJM,ENCFF296TZH,ENCFF821QEV,non-target,"ENCFF248RMM,ENCFF349QHG,ENCFF947QZH,ENCFF258VUW","ENCFF115BQI,ENCFF715AGI","ENCFF072ZOG,ENCFF573ATS"
DDX27,HepG2,ENCSR210RWL,ENCSR856ZRV,"ENCFF068IJE,ENCFF850YSY,ENCFF770ZXB,ENCFF398QAB,ENCFF265RYO,ENCFF554LIG","ENCFF495SBM,ENCFF754YET","ENCFF311UBJ,ENCFF714ORU",ENCFF433RJL,ENCFF250EQK,ENCFF127MIE,ENCFF335IXU,ENCFF081CXJ,ENCFF668CSC,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
HNRNPAB,HepG2,ENCSR354XQY,ENCSR279HMU,"ENCFF481MQZ,ENCFF975SOB,ENCFF961DOB,ENCFF530FPX","ENCFF821PAW,ENCFF366UBV","ENCFF427SEQ,ENCFF803RAZ",ENCFF930YEI,ENCFF936WLB,ENCFF367ZJQ,ENCFF002WXY,ENCFF048UGL,ENCFF726NAC,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
ASCC1,HepG2,ENCSR193FFA,ENCSR237YZT,"ENCFF749DKA,ENCFF904BLH,ENCFF363WAW,ENCFF299KPW","ENCFF074RKR,ENCFF491BPO","ENCFF765XDQ,ENCFF491BHU",ENCFF088DCW,ENCFF478LLS,ENCFF285TCL,ENCFF569SZY,ENCFF125RJE,ENCFF457UQD,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
APOBEC3C,HepG2,ENCSR012DAF,ENCSR279HMU,"ENCFF388DYX,ENCFF550NYY,ENCFF478TQB,ENCFF408ARC","ENCFF772ENG,ENCFF887JLA","ENCFF276ZFM,ENCFF315TAR",ENCFF365ZLE,ENCFF482JRS,ENCFF033PNL,ENCFF760HLW,ENCFF559AID,ENCFF995DPE,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
FKBP4,HepG2,ENCSR639LKS,ENCSR856ZRV,"ENCFF663YGQ,ENCFF796SHO,ENCFF107HUY,ENCFF071HGB","ENCFF377GZT,ENCFF635BOE","ENCFF590SVM,ENCFF333XHH",ENCFF355AAY,ENCFF841RAK,ENCFF333VVL,ENCFF378XFU,ENCFF762SBM,ENCFF723DXZ,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
SRSF9,HepG2,ENCSR597XHH,ENCSR603TCV,"ENCFF391OVD,ENCFF763ICV,ENCFF515DAB,ENCFF275BLA","ENCFF879FTB,ENCFF222VIH","ENCFF755MHT,ENCFF117XEK",ENCFF501MVX,ENCFF968YHY,ENCFF375FYR,ENCFF617BSF,ENCFF396PEK,ENCFF626GYB,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
RRP9,HepG2,ENCSR471GIS,ENCSR856ZRV,"ENCFF664VXC,ENCFF963BLJ,ENCFF891FZS,ENCFF133KFL","ENCFF943GWU,ENCFF819AEP","ENCFF018ZLT,ENCFF184DMC",ENCFF761ORA,ENCFF064YCE,ENCFF350HMZ,ENCFF249FXC,ENCFF189TXC,ENCFF624CSH,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
SRP68,HepG2,ENCSR167JPY,ENCSR856ZRV,"ENCFF637XJX,ENCFF635INU,ENCFF376NVO,ENCFF402OGW","ENCFF402SKG,ENCFF544JIA","ENCFF959YQS,ENCFF738FQC",ENCFF185EZM,ENCFF674RJU,ENCFF896XCI,ENCFF232QKW,ENCFF984UYA,ENCFF841XUU,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
