group_id	chunk_id
26198	0
31425	0
20656	0
20533	0
6197	0
1982	0
16526	0
15301	0
24808	0
31210	0
27577	0
15475	0
16562	0
29770	0
22215	0
10046	1
26727	1
21502	1
8276	1
2599	1
31863	1
21030	1
27937	1
6766	1
17896	1
5339	1
11712	1
25018	1
11686	1
88	1
33147	1
461	1
20959	1
2599	1
19328	1
29991	1
9906	1
31863	1
3196	1
4253	1
19851	1
21030	1
29662	1
20433	1
19993	1
29662	1
3912	1
738	1
24118	1
20433	1
21056	1
4419	1
14252	1
19993	1
18191	1
29577	1
32511	1
11595	1
23814	1
28408	1
2072	1
29162	1
31668	1
29486	1
30677	1
4413	1
11595	1
390	1
19616	1
29777	1
23814	1
26964	1
6105	1
6875	1
28408	1
2345	1
33312	1
2072	1
24396	1
31204	1
1627	1
29162	1
24635	1
7720	1
11478	1
31668	1
28632	1
1138	1
295	1
29756	1
5138	2
28484	2
17002	2
27327	2
24339	2
9985	2
2141	2
20038	2
13540	2
25482	2
16997	2
11260	2
30862	2
10982	2
11190	2
7868	2
17971	2
8209	2
13540	2
11172	2
11112	2
18612	2
25482	2
788	2
23572	2
22650	2
25141	2
11620	2
29347	2
16997	2
13039	2
27977	2
16304	2
788	2
22600	2
19907	2
16777	2
23572	2
33040	2
2726	2
741	2
22650	2
11203	2
3246	2
18378	2
11203	2
9713	2
27526	2
30220	2
3246	2
24197	2
27809	2
23787	2
18378	2
31112	2
11321	2
25009	2
13718	2
23559	2
6126	2
26065	2
30193	2
32914	2
13718	2
15864	2
10621	2
29001	2
23559	2
11867	2
26369	2
30022	2
6126	2
13607	2
28183	2
11407	2
3862	3
14352	3
23009	3
11220	3
18910	3
29489	3
13829	3
32503	3
16769	3
6632	3
8199	3
28502	3
17790	3
26631	3
27920	3
5165	4
30795	4
6628	4
30008	4
15051	4
19921	4
5327	4
25561	4
12524	4
21972	4
32304	4
28157	4
10416	4
28518	4
4916	4
29003	5
16447	5
7007	5
21577	5
25897	5
25586	5
6336	5
32294	5
20342	5
14632	5
8728	5
27069	5
4725	5
28462	5
10172	5
8580	5
13928	5
12098	5
14938	5
3605	5
26813	5
20342	5
26583	5
14739	5
566	5
14632	5
24366	5
15276	5
22057	5
8728	5
1370	5
8580	5
7851	5
17052	5
33211	5
13928	5
14769	5
6498	5
23998	5
12098	5
24240	5
21905	5
19881	5
9672	5
11536	5
3315	5
19881	5
21049	5
29268	5
6391	5
13582	5
14261	5
13448	5
9672	5
10150	5
9346	5
25242	5
11536	5
13591	5
3869	5
6391	5
32325	5
6649	5
28643	5
4897	5
930	5
27800	5
13582	5
23486	5
8959	5
63	5
14261	5
1347	5
10201	5
25176	5
7152	5
27411	5
269	5
10504	5
5539	5
4897	5
1676	5
8085	5
28487	5
930	5
15823	5
12489	5
31167	5
27800	5
10535	5
19964	5
7434	5
33187	5
7152	5
11850	5
31265	5
31597	5
27411	5
18538	5
8736	5
4254	5
24720	5
431	5
26839	5
269	5
18538	5
9302	5
2171	5
10461	5
8736	5
11779	5
28343	5
18489	5
4254	5
11669	5
16961	5
3302	5
20860	5
2035	5
21599	5
16500	5
25702	5
18863	5
1409	5
8609	5
20860	5
4778	5
33196	5
20710	5
2035	5
18847	5
10710	5
18926	5
21599	5
21672	5
32383	5
16500	5
17835	5
4354	5
26837	5
25702	5
5215	5
27235	5
20761	5
14059	5
10049	5
9846	5
18863	5
1027	5
690	5
20761	5
17392	5
17784	5
30872	5
30454	5
32316	5
21980	5
14059	5
4917	5
24928	5
22767	5
10049	5
15771	5
32333	5
3369	5
31489	6
5505	6
12130	6
3048	6
18968	6
29024	6
4975	6
22168	6
32250	6
33243	6
16217	6
19215	6
3876	6
2407	6
28855	6
3294	6
10769	6
13354	6
3876	6
24093	6
14663	6
17304	6
2407	6
6171	6
26624	6
14681	6
28855	6
27134	6
10582	6
31847	6
30761	6
16154	6
21748	6
27134	6
1742	6
21939	6
10744	6
10582	6
13468	6
4696	6
19430	6
31847	6
26570	6
30322	6
1928	6
282	6
20047	6
32220	6
26570	6
32319	6
16873	6
10708	6
30322	6
8527	6
27426	6
10113	6
1928	6
25954	6
29597	6
12307	6
11429	6
23425	6
16013	6
25954	6
237	6
2691	6
29156	6
29597	6
27763	6
5870	6
13169	6
12307	6
27500	6
32527	6
1097	6
27500	6
15505	6
9993	6
31776	6
32527	6
3779	6
29108	6
24483	6
1097	6
28269	6
1964	6
24756	6
15850	6
12367	6
3469	6
14402	6
7105	6
4296	6
7700	6
18265	6
17669	6
15850	6
486	6
30255	6
20915	6
12367	6
5821	6
26164	6
15158	6
3469	6
27124	6
21882	6
14402	6
29842	6
18741	6
3527	6
7105	6
28142	6
2131	6
2442	6
4296	6
7657	6
18845	6
12912	6
28217	6
23528	6
18845	6
11772	6
18625	6
9855	6
12912	6
19590	6
8770	6
30363	6
5524	6
19766	6
28995	6
28217	6
22916	6
22526	6
11915	6
29508	6
32269	6
30363	6
19040	6
