dataset	direction	total_number	testable_number
K562_WRN	up	1	0
K562_WRN	down	0	0
K562_XRCC6	up	30	5
K562_XRCC6	down	18	7
K562_ZC3H8	up	8	4
K562_ZC3H8	down	3	0
K562_ZNF800	up	0	0
K562_ZNF800	down	0	0
K562_ZRANB2	up	3	2
K562_ZRANB2	down	1	1
HepG2_RBM22	up	42	3
HepG2_RBM22	down	66	5
K562_FXR1	up	45	12
K562_FXR1	down	62	13
