5345	22997,4008,12904,17097,18818,20132,7948,29594,8421,8138,33011,19108,27346,5429,2969,1483,661,16731,12614,2567,17690,3117,6873,6501,18810,13392,15569,15055,18931,327,18381,30752,6884,4640,505,8089,32775,31695,10318,7936,17054,28901,19103,10604,7866,24283,7913,7532,8884,21700,2579,1204,32600,10954,30518,15472,1896,24738,25814,178,196,2768,18000,21185,3638,14620,25165,11731,27370,16006,16219,2941,28886,30077,1406,14064,22820,7842,5605,15942,23031,8141,19773,14301,32291,28556,2238,8045,22180,25052,24358,21253,331,12893,8936,17485,14625,23076,26497,17373,31635,7783,14310,9356,13014,30949,10632,22818,1887,3237,30596,13983,9032,18475,11727,23457,914,27443,28869,5379,21999,23567,31440,27025,17372,21106,11278,26864,21884,29274,21555,16655,4883,5140,6504,28448,18610,4528,6709,15353,20120,14004,2375,15733,316,24634,30758,16058,27111,1441,10841,32596,21603,8174,25951,19656,2259,5824,20176,16877,1673,964,14733,9836,9483,4809,29251,2976,3043,675,11065,22914,25309,9008,24973,26216,11717,2750,21465,24546,27497,18651,17900,3482,14808,18979,21772,13805,14450,16404,26810,26089,4638,10750,15487,20476,21150,31600,13060,6569,16483,18233,33206,27264,25438,4031,26050,14876,6716,31930,12865
27561	32557,24953,3503,26068,20256,29167,2814,14139,21245,24321,4762,29206,9905,27552,361,2769,15865,22896,15029,15866,21935,26126,5626,11437,27568,14409,24882,21079,28880,28783,27923,31488,24211,30440,27564,2581,20402,15527,15507,28579,24068,5597,27002,32168,7832,13649,29510,20036,14299,21026,26691,15120,33138,10905,2642,7965,14913,8553,21388,22672,17267,4751,29989,148,18404,28646,6283,12069,29413,5261,28113,2542,30947,29984,2079,22575,24135,21844,12121,4584,7554,5079,31302,3187,3780,32116,12965
17181	13290,5904,30399,30904,4819,17321,10353,21813,24302,16046,5905,28796,28690,6138,24224,9587,18632,30283,29480,13105,18223,21679,2500,9039,22963,21957,14813,12619,20690,5134,21992,27233,15190,3624,12102,27363,32135,22396,21103,9453,18523,11316,12119,12802,4644,15844,19776,18530,31398,13332,10199,1717,24883,22810,33224,11369,4187,24754,25953,17521,17937,19181,22738,459,3737,30479,10770,9466,93,22229,6308,15030,18494,19292,24383,10994,3635,24274,17474,28650,12742,28221,715,20819,16466,4865,2093,9168,5226,3006,9816,14616,26087,31048,31390,5141,27686,18842,11111,4573,22639,28162
26332	161,10343,24718,21072,29419,12948,6338,9117,14080,2402,8518,25077,10671,17390,28829,5205,20873,9731,16887,29304,20918,21044,350,31275,20757,16406,10955,23975,9449,14047,27423,18802,32862,18791,26603,19150,4062,2881,21158,2551,1213,28132,2759,15257,9888,4801,22392,17785,12192,22905,13027,1475,16315,4261,19743,10683,28359,24585,19639,26763,31698,16978,5027,24893,14685,22742,10240,25784,22675,14401,12796,27322,28213,16453,27635,9437,15930,9428,5560,24732,4306,11750,31144,5021,14300,28026,15975,21292,20257,26396,30898,18341,19133,12763,8732,2357,363,26381,24689,3839,15056,9839,14280,24292,29763
10417	16200,22485,9030,24410,9624,21033,19701,27253,31037,13385,28227,5052,6710,28761,2621
9442	24971,7843,7863,7049,21408,26435,25677,7662,24715,814,16619,14784,29418,32833,9517,3521,24127,15189,20481,29221,12177,11499,11327,26017,4218,29943,13773,14264,3306,31860,7014,23905,23491,18888,21011,28002,30258,20507,5351,880,533,1740,5528,1199,847,29061,15404,10386,24969,26475,3775,6618,20309,27284,26430,12317,22795,20713,1250,17084,27720,1034,10402,28001,3076,6568,1137,29026,7395,5440,23532,7844,20426,15377,917,20324,25074,29266,31459,7297,16605,2199,7010,26983,1549,20770,1788,13057,9190,21642
21421	30096,15154,14944,29538,15064,7421,10630,24641,6050,13176,17010,20449,25146,5118,32392,6497,29758,9218,10687,25738,30398,18524,17294,24532,8337,11877,1284,24069,28458,4363,24112,16003,28481,21461,31989,7001,1988,14768,2926,5607,9133,5383
16703	25851,22621,7121,11945,4166,904,20377,14555,9903,2172,20501,6780,11036,26840,22857,3703,1363,25232,11074,4019,18829,1122,6263,28964,31410,3270,29708,5260,6220,13177,16065,27281,26366,23527,23186,10212,15904,10576,16419,13264,15671,14361,31085,30170,11858,13620,32281,25477,31899,21326,15959,29282,16883,3975,15474,18641,6132,32740,24665,25359,16297,14921,31051,14315,9204,26246,17316,26629,29342,10285,1532,26201,4505,3321,745,17658,13789,14848,16148,14693,525,29123,10933,13593,8437,29665,29511,17282,23757,6083,28738,2835,17560,28301,27550,7841,19187,8457,21903,13967,10237,26410,30211,28590,23478,1551,30602,18027,15278,8882,9459
16296	389,22622,1031,18133,16991,26789,10432,9438,25920,13359,15410,22543,33067,14364,23890,17176,23653,24749,25289,32397,5673,28110,16637,30707,8399,4058,26184,7659,30336,25431,2021,4298,7256,15575,21001,1927,1304,33288,20938,26523,8251,29343,5239,23857,29058,26542,5184,3870,14327,25154,31247,11632,13637,28161,29595,3894,591,22786,13271,8601,18544,13296,1820,11344,26163,16248,18869,11355,13011,20118,32752,19957,20914,16050,12511,21074,13864,13188,10733,980,16852,17377,16060,23969,9945,32211,3949,26654,32400,14827,14260,27245,7606,10790,2089,21124,30279,22631,26187,11300,32602,18279,32967,7707,13362,24914,13467,21528,2760,1252,11676,23023,5111,30350,268,3209,19780,27569,15479,10451,32795,112,10209,23400,4775,26525
29899	22645,1575,31674,2851,11618,28248,22565,1884,23390,2059,29428,22569,31311,28011,8049,23866,12219,33153,24816,31656,22246,987,5746,8785,22206,22589,18326,16138,10367,15917,23865,9770,5408,6026,2254,2516,30217,19093,28133,17945,1114,3133,8694,17146,21145,13282,15057,26317,5943,16866,21740,2471,31575,9150,24282,2698,13836,5509,23118,29387,16818,25718,33287,1359,19263,13481,15419,7828,29601,21815,15973,13844,6543,27544,30748,7408,28553,16780,32995,21628,13078,21840,5098,10554,30552,8726,19589,761,15824,25035,14207,8061,19245,27735,10116,2534,12388,24805,32769,14985,26886
